Product#,Figure#,Manufacturer,Product,Release Year,Product Description,product_type_id,Purchased From,purchase_price,exclusive_to_retailer_id,action_figure_description,likeness,storage_location
178,193,Hasbro,Army Weapons Instructor,2000,Very basic (lame) figure;,1,,,,,,03.22
179,194,Hasbro,Battleship Row Defender,2000,Includes large .50 caliber anti-aircraft gun;,1,,,,,,desk.right.top.middle
180,195,Hasbro,Black Spider Rendezvous,2002,,1,,,,,,03.00
181,196,Hasbro,Bulletman (Vintage),1976,,1,eBay,,,,,03.00
182,197,Hasbro,Challenge at Hawk River,1998,White water raft; Hawk;,1,,,,Caucasian male with black life-like hair and goatee!,,shelf.door
183,198,Hasbro,Cobra Commander,2003,,1,,,,,,03.13
184,199,Hasbro,Colonel Buzz Aldrin,1999,,1,,,,,Buzz Aldrin,03.34
185,200,Hasbro,Crash Crew,1966,May be reproduction tool belt; No fire extinguisher;,1,Atlantique City,,,,,03.26
186,201,Hasbro,Danger of the Depths,2002,AA figure with life-like hair and beard and kung-fu grip; Includes shark; Orange wet suit;,1,,,,Orange-suited diver with a suit that is rotted to hell.,,03.03
186,2464,Hasbro,Danger of the Depths,2002,AA figure with life-like hair and beard and kung-fu grip; Includes shark; Orange wet suit;,1,,,,The shark - about 6-7' long ion 1:6 scale,,03.23
187,202,Hasbro,Deep Sea Diver - Danger of the Depths,1999,Diecast acessories;,1,KB Toys,49.99,30,,,03.00
188,203,Hasbro,Delta Soldier,1999,Includes 35th Anniversary patch,1,KB Toys,27.99,,,,03.48
189,204,Hasbro,Army Ranger Desert Recon,2002,,1,,,,,,03.48
190,205,Hasbro,Dress Marine,1996,Colton body;,1,Toys R Us,19.99,,,,03.16
191,206,Hasbro,Dusty,2001,,1,,,,,,03.26
192,207,Hasbro,Eight Ropes of Danger,2002,Kung Fu Grip,1,,,,,,desk.right.top.middle
193,208,Hasbro,Ernie Pyle,2001,"Comes with desk, typewriter and other goodies.",1,,,,,Ernie Pyle,03.10
194,209,Hasbro,Footlocker and 1964 Action Soldier,2003,,1,Target,,43,,,04.00
195,210,Hasbro,French Resistance Fighter (Vintage),1966,,1,,,,,,03.00
196,211,Hasbro,Friendship 7,2000,Friendship VII space capsule; ,1,FAO Schwarz,65,18,,,03.28
197,212,Hasbro,General George S. Patton,1997,"Includes dog ""Willie""",1,,,,,George S. Patton,window.left.top.upper
198,213,Hasbro,"General of the Army Douglas MacArthur, Medal of Honor Recipient",2003,,1,,,,,Douglas MacArthur,window.left.top.upper
199,214,Hasbro,Green Beret Machine Gun Outpost Set,2001,,1,,,29,,,window.left.bottom.middle
200,215,Hasbro,Hero's Homecoming Navy Sailor,2002,,1,,,,,,03.23
201,216,Hasbro,Home for the Holidays Soldier,1996,"""Colton"" body;",1,Wal-Mart,,50,,,03.17
202,217,Hasbro,Honor Guard,2000,Dress uniform used at the Tomb of the Unknown Soldier,1,Small Blue Planet,19.99,,,,window.left.top.lower
203,218,Hasbro,Indiana Jones Epic Stunt Spectacular,2004,Includes mummy,1,Walt Disney World,40,12,,,03.12
204,219,Hasbro,John F. Kennedy: PT 109 Boat Commander,1999,,1,,,,,John F. Kennedy,TBD
205,220,Hasbro,Lieutenant Col. Teddy Roosevelt,1999,Also politician;,1,,,,,Teddy Roosevelt,03.00
206,221,Hasbro,M.O.P.P. Marine,2000,,1,Small Blue Planet,24.99,,,,desk.right.top.upper
207,222,Hasbro,Marine Jungle Fighter,1999,Included shadow box display case;,1,FAO Schwarz,,18,,,03.06
208,223,Hasbro,Marine Scout Marksman,2004,,1,,,,,,desk.right.top.lower
209,224,Hasbro,Medal of Honor Recipient Roy P. Benavidez,2001,,1,,,,,Roy Benavidez,03.12
210,225,Hasbro,"Mike Power, Atomic Man (vintage)",1975,,1,eBay,,,,,tv.left.top.upper
211,226,Hasbro,Military Police,2002,Aqua-tinted outfit; Black & gold helmet; Die-cast machine gun,1,J.C. Penney,,29,,,window.left.bottom.middle
212,227,Hasbro,Millenium Salute,1999,Saluting arm;,1,,,,,,03.06
213,228,Hasbro,Mission Space,2004,,1,Walt Disney World,40,12,,,03.28
214,229,Hasbro,Navajo Code Talker,1999,Talks in both English and Navajo,1,,,,,,desk.right.top.upper
215,230,Hasbro,Navy Crash Crew,2001,,1,,,,,,03.00
216,231,Hasbro,Navy Deep Sea Diver,2003,,1,,,,,,03.00
217,232,Hasbro,Navy Dolphin Handler,2004,,1,,,,,,03.25
218,233,Hasbro,Navy SEAL Rapid Rappel,2003,Figure slides down rappel rope;,1,,,,,,03.29
219,234,Hasbro,Ninja Showdown Snake Eyes vs Storm Shadow,2003,"Included ""Spy Troops - The Movie"" DVD",1,,,,Figure 1 of 2 duplicate figures,,03.14
219,235,Hasbro,Ninja Showdown Snake Eyes vs Storm Shadow,2003,"Included ""Spy Troops - The Movie"" DVD",1,,,,Figure 2 of 2 duplicate figures,,03.14
220,236,Hasbro,Operation: Midnight Recon,2000,,1,Gift,,,,,03.00
221,237,Hasbro,Pearl Harbor Army Air Corps Pilot Display Set,2000,Includes 2 die cast fighter planes;,1,,,,,,window.left.top.lower
222,238,Hasbro,Perilous Rescue (black rubber wetsuit),2000,,1,Target,,43,,,03.22
223,239,Hasbro,Perils of the Raging Inferno (blond with goatee),1999,1st of 2 sets,1,,,,,,03.00
224,240,Hasbro,Perils of the Raging Inferno (Red-head with goatee),1999,2nd of 2 sets,1,,,,,,03.00
225,241,Hasbro,Rendezvous at Danger Pass,2004,With reproduction box;,1,,,33,,,03.24
226,242,Hasbro,Rescue of the Lost Squadron,1999,Includes dog sled;,1,Toys R Us,,47,,,desk.right.top.lower
227,243,Hasbro,Salute to the Chiefs,2005,"Comes with three uniforms: khaki, dress blues, dress whites;",1,,,,Khaki uniform on display.,,desk.right.top.middle
228,244,Hasbro,Scramble Pilot,2000,,1,G.I. Elic,,43,,,TBD
229,245,Hasbro,Search for the Radioactive Satellite,2004,With reproduction box;,1,,,33,,,03.14
230,246,Hasbro,Search for the Yeti (G.I. Joe figure),2002,Need to combine 230 & 231,1,,,,,,"desk,right.top.lower"
231,247,Hasbro,Search for the Yeti (Yeti Figure),2002,Need to combine 230 & 231,1,,,,,,desk.right.top.lower
232,248,Hasbro,Secret Mission to Spy Island,1999,,1,Ames,19.99,28,"Camoflauge BDUs, knit cap, detonator;",,tv.left.top.middle
233,249,Hasbro,Secret of the Mummy's Tomb (reimagined),2001,Includes mummy,1,,,,,,tv.right.top.upper
234,250,Hasbro,Search for the Mummy's Tomb (vintage),1970,Vintage figure; Includes mummy and ATV vehicle.,1,eBay,,,,,shelf.door
235,251,Hasbro,Skydive to Danger,2003,FAO went out of business before this exclusive hit the shelves officially.,1,,,18,,,03.00
236,252,Hasbro,Talking Action Pilot,2000,Talking figure; String no longer retracts;,1,,,,,,03.00
237,253,Hasbro,Talking Action Sailor,2002,Diecast acessories; Do I really have 2 of these?,1,,,,,,desk.right.top.middle
238,254,Hasbro,Talking Action Sailor,2002,Diecast acessories; Do I really have 2 of these?,1,,,,,,TBD
239,255,Hasbro,The Battle of Salerno and the Italian Campaign of WWII,2001,Includes mini Life Magazine,1,Gift,,,,,03.26
240,256,Hasbro,U.S. Army Taekwondo Trainer,2002,,1,,,,,,03.19
241,257,Hasbro,U.S. Coast Guard,1998,,1,,5,,,,03.01
242,258,Hasbro,Undercover Agent,2002,,1,,,,,,window.right.bottom.middle
243,259,Hasbro,Vietnam Nurse,1999,Female figure,1,,,,,,03.23
244,260,Hasbro,Vietnam Wall Memorial,2000,Includes illuminated wall;,1,Gift,,,,,03.00
245,261,Hasbro,Voice FX Duke,2004,Duke talks soft or loud depending on how hard you press his tummy;,1,,,,,,03.22
246,262,Hasbro,West Point & Annapolis Cadets,2001,Two figures; Also includes Navy;,1,FAO Schwarz,,18,Figure 1 of 2 duplicate figures,,03.00
246,263,Hasbro,West Point & Annapolis Cadets,2001,Two figures; Also includes Navy;,1,FAO Schwarz,,18,Figure 2 of 2 duplicate figures,,03.00
247,264,Hasbro,Wild Bill,2003,,1,,,,,,03.00
248,265,Hasbro,World War I German Infantry Senior Corporal 1st Westphalian Regiment,2003,Club distribution of Hasbro product; No box provided;,1,G.I. Joe Collector's Club,,,,,03.20
249,266,Hasbro,WWII European Theater,2002,Head is currently off figure but can be replaced;,1,,3.48,,,,04.00
250,267,Hero Builders,Talking Baghdad Bob (Iraqi Minister of Dis-information),2004,,1,,,,,Iraqi Information Minister Muhammed Saeed al-Sahaf ,03.24
251,268,Hero Builders,"Talking Howard Dean, Volume 2",2004,"""I have a scream"" version;",1,,,,,Howard Dean,03.04
252,269,Hero Production,Soul of the Dragon,2004,Anime-like head;,1,,,,,Bruce Lee (Anime),03.23
253,270,Hot Toys,300 King Leonidas,2010,,1,Sideshow Collectibles,149.99,,,Gerard Butler,04.00
254,271,Hot Toys,Armored Batman (Batman v. Superman),2016,MMS 349,1,Sideshow Collectibles,249.99,,,Ben Affleck,desk.left.top.upper
255,272,Hot Toys,Batman (1989 Version) DX Series (DX09),2012,,1,Sideshow Collectibles,239.99,,,Michael Keaton,desk.left.top.middle
256,273,Hot Toys,Batman 1966,2014,MMS 218,1,Sideshow Collectibles,204.99,,Contains multiple portraits,Adam West,desk.left.top.middle
257,274,Hot Toys,Blade II,2010,,1,Sideshow Collectibles,159.99,,,Wesley Snipes,03.00
258,275,Hot Toys,Captain America - The First Avenger,2011,World War II Version,1,Sideshow Collectibles,169.99,,,Chris Evans,tv.right.top.lower
259,276,Hot Toys,Chewbacca,2015,"MMS 263;
Part of a 2 figure set with Han Solo;
Episode IV - A New Hope version;
Price not included. Total price provide on Han Solo line item",1,Sideshow Collectibles,,,,,shelf.20x15.01
260,277,Hot Toys,Combat Aircrew Pilot (F-14),2000,,1,,,,,Tom Cruise,desk.right.top.middle
261,278,Hot Toys,Famous Type Figure (George Lucas),2000,,1,,,,,George Lucas,shelf.20x15.02
262,279,Hot Toys,First Order TIE Pilot,2015,MMS 324,1,Sideshow Collectibles,199,,,,shelf.20x15.02
263,280,Hot Toys,Han Solo,2015,"MMS 263;
Part of a 2 figure set with Chewbacca;
Episode IV - A New Hope version",1,Sideshow Collectibles,479.99,,,Harrison Ford,shelf.20x15.01
264,281,Hot Toys,Inglorious Basterds: Lt. Aldo Raine,2010,,1,Urban Collector,151.99,,,Brad Pitt,03.00
265,282,Hot Toys,Iron Man Mark III,2008,,1,Sideshow Collectibles,,,,Robert Downey JR.,tv.right.top.lower
266,283,Hot Toys,Luke Skywalker (Bespin Outfit) - Battle Damaged figure,2012,DX07; Display elements in separate bag,1,Sideshow Collectibles,,,,Mark Hamill,TBD
267,284,Hot Toys,Luke Skywalker (Bespin Outfit) - Regular figure,2012,DX07; Display elements in separate bag,1,Sideshow Collectibles,,,Khaki outfit.,Mark Hamill,shelf.20x15.01
268,285,Hot Toys,Luke Skywalker (from A New Hope),2015,MMS #297,1,Sideshow Collectibles,,,White Tattooine outfit.,Mark Hamill,shelf.20x15.01
269,286,Hot Toys,"Michael Jackson, Thriller Version (Regular Michael)",2009,Thriller; zombie; ,1,Sideshow Collectibles,189.99,,Red leather pop star Michael Jackson.,Michael Jackson,03.08
270,287,Hot Toys,"Michael Jackson, Thriller Version (Zombie Michael)",2009,Thriller; zombie; ,1,Sideshow Collectibles,189.99,,Zombie Michael Jackson from Thriller video,Michael Jackson,window.right.bottom.upper
271,288,Hot Toys,"Naval Special Warfare Development Group ""DEVGRU""",2003,,1,,,,,,03.00
272,289,Hot Toys,"Robin, The Boy Wonder",2014,MMS 219,1,Sideshow Collectibles,189.99,,,Burt Ward,desk.left.top.middle
273,290,Hot Toys,"SAS (Special Air Service) HALO Troop, Desert Operations",2002,,1,Small Blue Planet,,,,,window.left.bottom.upper
274,291,Hot Toys,Selina Kyle,2013,,1,Zolocon,225,,,Anne Hathaway,desk.left.top.middle
275,292,Hot Toys,Stormtrooper,2015,,1,Sideshow Collectibles,,,,,shelf.20x15.02
276,293,Hot Toys,Superman (Batman v. Superman),2016,MMS 343,1,Sideshow Collectibles,209.99,,,Henry Cavill,desk.left.top.upper
277,294,Hot Toys,T800 - Terminator 2,2010,,1,Sideshow Collectibles,164.99,,,Arnold Schwarzenegger,shelf.20x15.04
278,295,Hot Toys,The Dark Knight: Batman - Sonar (DX02),2009,,1,Urban Collector,149.99,,,Christian Bale,desk.left.top.middle
279,296,Hot Toys,The Dark Knight: The Joker - Gotham City Police (DX01),2009,"2 of 2, Cop outfit; Extra uniform placed on a Hot Toys Tru-type figure with narrow shoulders",1,Urban Collector,,,Joker without makeup as a member of the GCPD,Heath Ledger,window.left.bottom.middle
280,297,Hot Toys,The Dark Knight: The Joker - Gotham City Police (DX01),2009,"1 of 2, Joker outfit",1,Urban Collector,159.99,,,Heath Ledger,desk.left.top.middle
281,298,Hot Toys,The Godfather Don Vito Corleone (Sideshow Exclusive Version),2009,"Includes chair, cat, backdrop, etc.",1,Sideshow Collectibles,149.99,,,Marlon Brando,desk.above.02
282,299,Ideal,Aqualad for Action Boy,1967,Mostly vintage; Some pieces are custom or reproduction;,1,,,,,,03.36
283,300,Ideal,Aquaman for Captain Action,1966,"Mostly vintage; Some pieces (trident, gloves, boots) are custom or reproduction;",1,,,,,,03.01
284,301,Ideal,Batman for Captain Action,1966,"Mostly vintage; Some pieces (cape, gloves) are reproduction;",1,,,,,,03.00
285,302,In the Past Toys,Adolph Hitler,2000,,1,,,,,Adoph Hitler,window.right.bottom.lower
286,303,Jakks Pacific,Chris Jericho,2002,,1,,,,,Chris Jericho,03.04
287,304,Jakks Pacific,Stone Cold Steve Austin,1999,,1,,10,,,Stone Cold Steve Austin,03.04
288,305,Jakks Pacific,Triple H,2002,,1,,,,,Triple H,03.00
289,306,Kenner,Action Man Crimson Warrior,1995,,1,,,,,,03.17
290,307,Kenner,Army Football Quarterback,1998,,1,,,,,,03.00
291,308,Kenner,Belgian Para-commando,1997,,1,Connecticut Convention,0,,,,03.00
292,309,Kenner,Bob Hope,1998,,1,,,,,Bob Hope,desk.above.02
293,310,Kenner,Boba Fett,2004,,1,,,,,,shelf.20x15.02
294,311,Kenner,F-15E Pilot,1996,,1,FAO Schwarz,,18,,,02.00
295,312,Kenner,General Colin L. Powell,1998,,1,,,,,Colin Powell,window.left.top.lower
296,313,Kenner,General Dwight D. Eisenhower,1997,,1,,,,,Dwight D. Eisenhower,03.00
297,314,Kenner,Mission Splashdown,1998,Space capsule; White spacesuit + jumpsuit; African American figure,1,Toys R Us,,,,,03.00
298,315,Kenner,Mission Splashdown,1998,Space capsule; White spacesuit + jumpsuit,1,Toys R Us,,,,,TBD
299,316,Kenner,Navy Football Linebacker,1998,,1,,,,,,03.00
300,317,Kenner,Shuttle Astronaut Robert Crippen,1997,,1,,,,,Robert Crippen,03.00
301,318,Kenner,U.S. 82nd Airborne (female),1998,G.I. Jane,1,,,,,,03.28
302,319,Kenner,U.S. Navy Blue Angel,1997,,1,,,,,,03.35
303,320,Kenner,USS Connecticut Crewman SSN-22,1998,AA figure;,1,Booksmith,,8,,,desk.right.top.middle
304,321,Kings Toys,Joseph Stalin,2011,Chair in furniture box,1,,,,Wearing green military unitform. Figure also comes with white jacket and black pants with red strips.,Joseph Stalin,window.right.bottom.lower
305,322,Lanard,Rapid Fire - Operation: Lion's Den,2003,,1,,,,Molded top. Cloth pants.,,03.32
306,323,Majestic Studios,The Abominable Dr. Phibes,2005,,1,,59.95,,,Vincent Price,03.00
307,324,Majic Productions,State Trooper,1997,,1,Majic Productions,,23,,,03.00
308,325,Marx,Sheriff Garrett,1967,,1,Toy Show in Pennsauken,,,,Dean Martin,03.22
309,326,Marx,"Sir Brandon, The Blue Knight & Horse",2001,,1,,,,Sir Brandon,Dean Martin,desk.above.04
309,1462,Marx,"Sir Brandon, The Blue Knight & Horse",2001,,1,,,,Armored horse,,desk.above.04
310,327,Mattel,Barbie and Krissy Stroll N' Play 3-in-1 Fun,2001,,1,,,,,,REMOVED
311,328,Mattel,Barbie as Batgirl,2004,,1,,,,,,03.00
312,329,Mattel,Barbie as Wonder Woman,1999,DC Comics license;,1,,,,,,03.03
313,330,Mattel,Betty Draper (Barbie),2010,,1,Gift basket,,,,,03.25
314,331,Mattel,Bob Mackie Diamond Barbie,,,1,,,,,,03.24
315,332,Mattel,Bob Mackie Emerald Barbie,,,1,,,,,,03.17
316,333,Mattel,Bob Mackie Ruby Barbie,,,1,,,,,,03.11
317,334,Mattel,Breakfast at Tiffany's Holly Golightly,1998,,1,,,,,Audrey Hepburn,03.00
318,335,Mattel,Don Draper (Ken),2010,,1,Gift basket,,,,,03.25
319,336,Mattel,"Frank Sinatra, The Recording Years",2000,,1,,,,,Frank Sinatra,desk.above.02
320,337,Mattel,Go Kart Racer,2001,,1,,,,,,03.00
321,338,Mattel,Irish Barbie,,,1,Mom,,,,,03.16
322,339,Mattel,Joan Holloway (Barbie),2010,,1,Gift basket,,,,,03.26
323,340,Mattel,Ken as Henry Higgins in My Fair Lady,1995,,1,,50,,,,TBD
324,341,Mattel,May Emerald Barbie,2002,,1,,,,,,03.36
325,342,Mattel,Mountain Climbing,2000,,1,Small Blue Planet,9.99,,,,03.01
326,343,Mattel,Roger Sterling (Ken),2010,Received in a gift basket,1,,,,,,03.27
327,344,Mattel,Tornado Chaser,2000,Talking figure;,1,,,,,,03.01
328,345,Medicom,Darth Vader,2005,Helmet removes to revela Anakin Skywalker;,1,,,,FIgure on the smaller side for Darth Vader.,,03.11
329,346,Medicom,"GSG-9 (Grenz Schutz Gruppe-9, The German Response to Terrorism",2001,Need better release date confirmation;,1,,,,,,03.08
330,347,Medicom,James Bond from Dr. No,1998,,1,,,,,Sean Connery,03.20
331,348,Medicom,"The Rocketeer, Ver 2.0",2006,,1,,,,,,shelf.20x15.04
332,349,Modeller's Loft,Cricketer,2006,,1,Cotswold Collectibles,,,,,03.00
333,350,Modeller's Loft,Liverpool Footballer (Soccer Player),2006,,1,Cotswold Collectibles,,,,,03.00
334,351,Modeller's Loft,The Royal Horse Guard (The Blues and Royals),2006,,1,Cotswold Collectibles,,,,,window.left.bottom.upper
335,352,N2 Toys,Neo,2000,Run of the mill Neo figure with a seemingly small head. ,1,Hall of Heroes,18.95,,Dressed in black trenchcoat outfit.,Keanu Reeves,03.33
336,353,Old Joe Infirmary,Modern Surgical Uniform,2001,,1,,,,,,03.31
337,354,Palisades,Joe Cabot,2001,,1,,,,,Lawrence Tierney,03.16
338,355,Palisades,Mr Brown,2001,,1,,,,,Quentin Tarantino,03.01
339,356,Palitoy,Argyll and Sutherland Highlander,1970,Some reproduction pieces;,1,Barry Kay,,,,,window.left.bottom.upper
340,357,Palitoy,Life Guard,1970,,1,Barry Kay,,,,,window.left.bottom.upper
341,358,Playing Mantis,Captain Action (1st packaging),1998,,1,,,,03.08,,02.00
342,,Playing Mantis,Captain Action as Flash Gordon,1999,Figure used for other outfit. (Adam West??),1,KB Toys,9.99,,,,
343,,Playing Mantis,Captain Action as The Lone Ranger (Red & black uniform),1998,Figure used for blue Lone Ranger costume;,1,KB Toys,19.99,,,,
344,359,Playing Mantis,Captain Action as Tonto,1998,,1,KB Toys,19.99,,,,03.21
345,360,Playing Mantis,"Dr. Evil as Ming the Merciless, Arch Enemy of Flash Gordon",1999,,1,KB Toys,9.99,,,,03.16
346,361,Playing Mantis,"Dr. Evil, Captain Action's Arch Enemy (1st packaging)",1998,Large-box style packaging,1,,,,,,03.22
347,362,Playing Mantis,"Dr. Evil, The Sinister Invader of Earth, Arch Enemy of Captain Action (Retro-style packaging)",1999,"Thin-box, retro style packaging;",1,,,,,,TBD
348,363,Playing Mantis,"Kato, The Green Hornet's Sidekick, for Captain Action",2000,Equipment set put on Captain Action figure from earlier Playing Mantis Kato.,1,Small Blue Planet,10.99,,,,03.36
349,364,Playing Mantis,"Kid Action, The Bold Adventurer Sidekick of Captain Action",2000,,1,,,,,,03.29
350,365,Playing Mantis,The Green Hornet for Captain Action,2000,Equipment set put on Captain Action figure from earlier Playing Mantis Green Hornet.,1,,,,,,03.08
351,366,Playing Mantis,The Lone Ranger for Captain Action (blue uniform),2000,,1,,,,,,03.21
352,367,Product Enterprises,Count Dracula,2004,,1,,55,,,Christopher Lee,shelf.20x15.03
353,368,Product Enterprises,The Avengers,2002,,1,,,,Figure 1 of 2 duplicate figures,Patrick Mcnee & Diana Rigg,03.00
353,369,Product Enterprises,The Avengers,2002,,1,,,,Figure 2 of 2 duplicate figures,Patrick Mcnee & Diana Rigg,03.00
354,370,Project ARE,Karate,2004,Custom uniform on blonde Dragon body;,1,Project ARE,,,,,03.48
355,371,Round 2,Captain Action,2011,,1,,,,,,03.00
356,372,Round 2,Captain Action,2011,,1,,,,,,03.26
357,373,Round 2,Captain Action Arctic Adventurer,2012,,1,,,,,,desk.right.top.lower
358,374,Round 2,Dr. Evil,2012,,1,,,,,,03.20
359,375,Round 2,Dr. Evil,2012,,1,,,,,,03.18
360,376,Sideshow,"6th/7th Battalion Black Watch, 51st (Highland) Division (WWI)",2001,,1,,,,,,03.12
361,377,Sideshow,Batman,2014,Three headsculpt with three separate facial portraits included.,1,Sideshow Collectibles,199,40,On display: short eared cowl with straight mouth portrait,,desk.left.top.middle
362,378,Sideshow,C-3PO,2015,,1,Sideshow Collectibles,,40,,,shelf.20x15.01
363,379,Sideshow,"C.G.B. Spender (AKA, The Cigarette Smoking Man) (Sideshow Excl. Vers.)",2004,,1,,,,,William B. Davis,03.00
364,380,Sideshow,C.S. 57th Virginia Infantry,2001,Civil War,1,,,,,,03.18
365,381,Sideshow,Catwoman,2013,,1,Sideshow Collectibles,189.99,,,,03.26
366,382,Sideshow,Civil War Union Soldier,,Inherited from dad. May be a 100th PA Infantry soldier.,1,,,,"Gray pants, blue coat, blue hat.",,03.21
367,383,Sideshow,Confederate Soldier,,Inheritied from dad. Probably 75th Virginia regiment,1,Dad,,,"White pants, grey coat, grey whole-brimmed hat",,03.23
368,384,Sideshow,Creature from the Black Lagoon,2003,,1,,,,,,03.00
369,385,Sideshow,Crimson Cobra Commander,2009,,1,Sideshow Collectibles,109.99,1,,,03.48
370,386,Sideshow,Darth Maul,2006,,1,Hall of Heroes,54.99,,,Ray Parks,shelf.20x15.02
371,387,Sideshow,Darth Vader,2015,,1,Sideshow Collectibles,249.99,,,,shelf.20x15.02
372,388,Sideshow,Dr. No - James Bond,2002,,1,,,,,Sean Connery,window.right.bottom.middle
373,389,Sideshow,Dracula - Count Dracula,2001,,1,Small Blue Planet,24.99,,,Bela Lugosi,shelf.20x15.03
374,390,Sideshow,Dracula - Renfield,2001,,1,,,,,Dwight Frye,03.07
375,391,Sideshow,Frankenstein - Fritz,2001,,1,Small Blue Planet,24.99,,,Dwight Frye,03.20
376,392,Sideshow,Frankenstein - The Monster,2000,,1,,,,,Boris Karloff,shelf.20x15.03
377,393,Sideshow,Frankenstein meets the Wolf Man - The Monster,2001,,1,,,,,Bela Lugosi,03.21
378,394,Sideshow,Get Smart - Maxwell Smart,2002,,1,,,,,Don Adams,window.right.bottom.middle
379,395,Sideshow,Get Smart - The Chief,2002,,1,,,,,Edward Platt,03.20
380,396,Sideshow,Goldfinger - Oddjob,2003,,1,,,,,Harold Sakata,03.19
381,397,Sideshow,Gunnery Sgt. R. Lee Ermey,2001,Dress green uniform.,1,,,,,R. Lee Ermey,desk.right.top.upper
382,398,Sideshow,Gunnery Sgt. R. Lee Ermey - Dress Blues,2006,Talking figure;,1,Hall of Heroes,39.99,,,R. Lee Ermey,03.17
383,399,Sideshow,Hogan's Heroes - Col. Robert Hogan,2002,,1,,,,,Bob Crane,03.18
384,400,Sideshow,Hogan's Heroes - Col. Wilhelm Klink,2002,,1,,,,,Werner Klemperer,03.18
385,401,Sideshow,Hogan's Heroes - Sgt. Hans Schultz,2002,,1,,,,,John Banner,03.23
386,402,Sideshow,House of Frankenstein - The Monster,2001,,1,,,,,Glenn Strange,03.20
387,403,Sideshow,Indiana Jones - Arnold Toht (Sideshow Exclusive Edition),2009,,1,Sideshow Collectibles,169.99,40,,Ronald Lacey,03.21
388,404,Sideshow,Indiana Jones from Raiders of the Lost Ark (Sideshow Exclusive Version),2008,,1,Sideshow Collectibles,,,,Harrison Ford,03.00
389,405,Sideshow,Leia Organa (from A New Hope),2007,,1,Hall of Heroes,54.99,,,Carrie Fisher,shelf.20x15.01
390,406,Sideshow,License to Kill - Franz Sanchez,2003,Includes Uzi & iguana,1,Hall of Heroes,35.99,,,Robert Davi,03.18
391,407,Sideshow,London After Midnight - The Vampire,2001,,1,,,,,Lon Chaney,03.08
392,408,Sideshow,Luke Skywalker (from Return of the Jedi),2006,,1,,,,Black tunic. Hooded cape.,Mark Hamill,shelf.20x15.01
393,409,Sideshow,Nosferatu - The Vampyre,2001,,1,,,,,Max Shreck,03.00
394,410,Sideshow,R2D2,2015,,1,Sideshow Collectibles,149.99,,,,shelf.20x15.01
395,411,Sideshow,Scarface - Tony Montana Talking Figure,2005,,1,,,,,Al Pacino,03.14
396,412,Sideshow,Snake-Eyes (Commando) (Sideshow Exclusive Version),2009,,1,Sideshow Collectibles,,,,,03.48
397,413,Sideshow,Superman - The Movie - Superman (Sideshow Exclusive),2011,,1,Sideshow Collectibles,209.99,40,,Christopher Reeve,desk.left.top.middle
398,414,Sideshow,The Bride of Frankenstein - The Bride,2001,,1,Hall of Heroes,25.99,,,Elsa Lanchester,shelf.20x15.03
399,415,Sideshow,The Bride of Frankenstein - The Monster,2001,,1,Hall of Heroes,25.99,,,Boris Karloff,
400,416,Sideshow,The Hunchback of Notre Dame - Quasimodo,2004,,1,Hall of Heroes,34.99,,,Lon Chaney,03.12
401,417,Sideshow,The Invisible Man - The Invisible Man,2005,,1,Hall of Heroes,39.99,,,Claude Rains,shelf.20x15.03
402,418,Sideshow,The Mummy - Ardeth Bey,2004,,1,,,,,Boris Karloff,03.00
403,419,Sideshow,The Mummy - The Mummy,2003,,1,,,,,Boris Karloff,03.00
404,420,Sideshow,The Phantom of the Opera - Mask of the Red Death,2002,,1,Hall of Heroes,29.99,,,Lon Chaney,03.00
405,421,Sideshow,The Phantom of the Opera - The Phantom,2001,,1,Hall of Heroes,24.99,,,Lon Chaney,shelf.20x15.03
406,422,Sideshow,The Wolf Man - Bela the Gypsy,2001,,1,Small Blue Planet,34.99,,,Bela Lugosi,03.00
407,423,Sideshow,The Wolf Man - Larry Talbot,2001,,1,Small Blue Planet,,,,Lon Chaney Jr.,03.00
408,424,Sideshow,The Wolf Man - Wolf Man,2001,"Lon in his Wolf Man makeup with shirt and pants. I always wished they made this figure shirtless - like the Aurora Wolf Man model kit, even though I don't think Lon's Wolf Man ever appeared that way in the movies.",1,Small Blue Planet,24.99,,,Lon Chaney Jr.,shelf.20x15.03
409,425,Sideshow,Thunderball - James Bond,2004,,1,Hall of Heroes,39.99,,,Sean Connery,03.00
410,426,Sideshow,Van Helsing - Van Helsing,2004,,1,,,,,Hugh Jackman,03.13
411,427,Sideshow,White Zombie - Murder Legendre,2001,,1,Hall of Heroes,29.99,,,Bela Lugosi,03.00
412,428,Sideshow,Yoda ,2011,,1,Sideshow Collectibles,74.99,40,,,shelf.20x15.01
413,429,Sideshow,Young Frankenstein - Frederick,2001,,1,,,,,Gene Wilder,03.13
414,430,Sideshow,Young Frankenstein - Igor,2001,,1,,,,,Marty Feldman,03.13
415,431,Sideshow,Young Frankenstein - The Monster,2001,,1,,,,,Peter Boyle,03.13
416,432,Takara,S.S.S.P. Akiko Fuji,2003,Rooted hair version;,1,,,,,Yuriko Hishimi,shelf.15x20.04
417,433,Toy Biz,Spider-Man,2001,,1,Hall of Heroes,19.99,,,Toby Maguire,03.34
418,434,Toypresidents,George W. Bush Talking Action Figure,2003,,1,,,,,George W. Bush,tv.right.top.upper
